fallo,coord,concurrencia,repeticion,warmup_seconds,measure_seconds,fault_probability,delay_seconds,usuarios_objetivo,usuarios_spawneados,requests_total,requests_fail,tasa_error,checkout_total,checkout_fail,checkout_confirmadas,tasa_abortos_checkout,codigos_http_json,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,throughput_rps,locust_cpu_pct_media,locust_cpu_pct_max,locust_mem_mb_media,locust_mem_mb_max,locust_warning_detected,locust_warning_texto,inicio_epoch,duracion_segundos
timing,2pc,100,2,60.0,300.0,0.1,5.0,100,100,978,65,0.066462,419,26,393,0.062053,"{""200"": 520, ""201"": 394, ""500"": 1, ""503"": 64}",33000,68000,78000,2.7091394223933722,0.0,0.0,78.55,81.13,False,,1788701908.516,363.954
timing,2pc,200,2,60.0,300.0,0.1,5.0,200,200,1460,537,0.367808,497,271,226,0.545272,"{""0"": 131, ""200"": 697, ""201"": 226, ""401"": 15, ""409"": 24, ""500"": 99, ""503"": 268}",49000,90000,90000,3.84701892258282,0.0,0.0,86.73,92.16,False,,1788702612.619,381.384
timing,2pc,400,2,60.0,300.0,0.1,5.0,400,400,3398,2464,0.725132,317,283,34,0.892744,"{""0"": 1928, ""200"": 900, ""201"": 34, ""401"": 198, ""409"": 12, ""500"": 26, ""503"": 300}",17000,92000,92000,8.631584497360045,0.0,0.0,105.71,112.16,False,,1788703467.907,396.113
none,saga,50,2,60.0,300.0,0.0,5.0,50,50,951,0,0.0,450,0,450,0.0,"{""200"": 501, ""201"": 451}",16000,29000,34000,2.807023631587442,0.58,97.7,74.66,76.88,False,,1788704048.859,340.491
none,saga,100,2,60.0,300.0,0.0,5.0,100,100,1051,9,0.008563,474,7,467,0.014768,"{""200"": 575, ""201"": 468, ""500"": 5, ""503"": 4}",31000,59000,68000,2.841998506207559,0.56,104.2,78.65,81.28,False,,1788704620.976,372.696
none,saga,200,2,60.0,300.0,0.0,5.0,200,200,1479,423,0.286004,541,227,314,0.419593,"{""0"": 44, ""200"": 742, ""201"": 315, ""401"": 6, ""500"": 92, ""503"": 281}",46000,84000,90000,3.9805766781264036,0.01,1.6,86.37,91.4,False,,1788705333.356,374.421
none,saga,400,2,60.0,300.0,0.0,5.0,400,400,3671,2630,0.716426,336,300,36,0.892857,"{""0"": 2284, ""200"": 1005, ""201"": 36, ""401"": 151, ""500"": 45, ""503"": 153}",17000,91000,92000,9.323550665525698,0.0,0.0,106.91,112.3,False,,1788706184.024,396.327
omission,saga,50,2,60.0,300.0,0.1,5.0,50,50,821,57,0.069428,385,57,328,0.148052,"{""200"": 436, ""201"": 328, ""500"": 58}",18000,34000,41000,2.4612379189318454,0.0,0.0,74.36,76.47,False,,1788706762.33,336.263
omission,saga,100,2,60.0,300.0,0.1,5.0,100,100,1040,59,0.056731,467,54,413,0.115632,"{""200"": 568, ""201"": 413, ""500"": 51, ""503"": 9}",33000,58000,68000,2.8288154636099216,0.0,0.0,78.86,81.33,False,,1788707323.07,370.906
omission,saga,200,2,60.0,300.0,0.1,5.0,200,200,1519,561,0.369322,547,336,211,0.61426,"{""0"": 53, ""200"": 747, ""201"": 211, ""401"": 6, ""500"": 226, ""503"": 276}",46000,86000,90000,3.938605830513775,0.0,0.0,86.87,91.63,False,,1788708031.324,387.164
